clip_id,Show,EpId,ClipId,Start,Stop,label
HeStutters_0_0,HeStutters,0,0,31900320,31948320,fluent
HeStutters_0_1,HeStutters,0,1,31977120,32025120,fluent
HeStutters_0_2,HeStutters,0,2,34809760,34857760,fluent
HeStutters_0_3,HeStutters,0,3,35200640,35248640,fluent
HeStutters_0_4,HeStutters,0,4,35721920,35769920,fluent
HeStutters_0_5,HeStutters,0,5,36435040,36483040,fluent
HeStutters_0_6,HeStutters,0,6,37251200,37299200,fluent
HeStutters_0_7,HeStutters,0,7,37784640,37832640,fluent
HeStutters_0_8,HeStutters,0,8,37963520,38011520,fluent
HeStutters_0_9,HeStutters,0,9,41417440,41465440,fluent
HeStutters_0_10,HeStutters,0,10,41861760,41909760,fluent
HeStutters_0_11,HeStutters,0,11,42928800,42976800,fluent
HeStutters_0_12,HeStutters,0,12,43139360,43187360,fluent
HeStutters_0_13,HeStutters,0,13,46154240,46202240,fluent
HeStutters_0_14,HeStutters,0,14,49133440,49181440,fluent
HeStutters_0_15,HeStutters,0,15,49411840,49459840,fluent
HeStutters_0_16,HeStutters,0,16,51492320,51540320,fluent
HeStutters_0_17,HeStutters,0,17,6970880,7018880,fluent
HeStutters_0_18,HeStutters,0,18,8215200,8263200,fluent
HeStutters_0_19,HeStutters,0,19,9985280,10033280,fluent
HeStutters_0_20,HeStutters,0,20,11197600,11245600,fluent
HeStutters_0_21,HeStutters,0,21,12275840,12323840,fluent
HeStutters_0_22,HeStutters,0,22,12315840,12363840,fluent
HeStutters_0_23,HeStutters,0,23,12567200,12615200,fluent
HeStutters_0_24,HeStutters,0,24,15001760,15049760,fluent
HeStutters_0_25,HeStutters,0,25,16317280,16365280,fluent
HeStutters_0_26,HeStutters,0,26,3562240,3610240,fluent
HeStutters_0_27,HeStutters,0,27,18732320,18780320,repetition
HeStutters_0_28,HeStutters,0,28,18902240,18950240,fluent
HeStutters_0_29,HeStutters,0,29,19004000,19052000,fluent
HeStutters_0_31,HeStutters,0,31,21092480,21140480,fluent
HeStutters_0_32,HeStutters,0,32,21147520,21195520,fluent
HeStutters_0_33,HeStutters,0,33,25293440,25341440,prolongation
HeStutters_0_34,HeStutters,0,34,25822720,25870720,fluent
