clip_id,Show,EpId,ClipId,Start,Stop,label,speaker,is_probably_host,clip_silhouette_score,SEP28k-E,SEP28k-T,SEP28k-D
HeStutters_0_0,HeStutters,0,0,31900320,31948320,fluent,Pamela Mertz,True,0.5658465623855591,train,test,test
HeStutters_0_1,HeStutters,0,1,31977120,32025120,fluent,Pamela Mertz,True,0.440298318862915,train,test,test
HeStutters_0_2,HeStutters,0,2,34809760,34857760,fluent,Pamela Mertz,True,0.5239596962928772,train,test,test
HeStutters_0_3,HeStutters,0,3,35200640,35248640,fluent,Pamela Mertz,True,0.3778924942016601,train,test,test
HeStutters_0_4,HeStutters,0,4,35721920,35769920,fluent,Pamela Mertz,True,0.5536426901817322,train,test,test
HeStutters_0_5,HeStutters,0,5,36435040,36483040,fluent,Pamela Mertz,True,0.5078305602073669,train,test,test
HeStutters_0_6,HeStutters,0,6,37251200,37299200,fluent,Pamela Mertz,True,0.587060809135437,train,test,test
HeStutters_0_7,HeStutters,0,7,37784640,37832640,fluent,Pamela Mertz,True,0.4836141169071197,train,test,test
HeStutters_0_8,HeStutters,0,8,37963520,38011520,fluent,Pamela Mertz,True,0.2753463983535766,train,test,test
HeStutters_0_9,HeStutters,0,9,41417440,41465440,fluent,Pamela Mertz,True,0.5054553151130676,train,test,test
HeStutters_0_10,HeStutters,0,10,41861760,41909760,fluent,Pamela Mertz,True,0.3163560628890991,train,test,test
HeStutters_0_12,HeStutters,0,12,43139360,43187360,fluent,Pamela Mertz,True,0.420501559972763,train,test,test
HeStutters_0_13,HeStutters,0,13,46154240,46202240,fluent,Pamela Mertz,True,0.4609233736991882,train,test,test
HeStutters_0_14,HeStutters,0,14,49133440,49181440,fluent,Pamela Mertz,True,0.5687756538391113,train,test,test
HeStutters_0_15,HeStutters,0,15,49411840,49459840,fluent,Pamela Mertz,True,0.4432256519794464,train,test,test
HeStutters_0_16,HeStutters,0,16,51492320,51540320,fluent,Pamela Mertz,True,0.5327112078666687,train,test,test
HeStutters_0_17,HeStutters,0,17,6970880,7018880,fluent,Pamela Mertz,True,0.5791712403297424,train,test,test
HeStutters_0_18,HeStutters,0,18,8215200,8263200,fluent,Pamela Mertz,True,0.4415773451328277,train,test,test
HeStutters_0_19,HeStutters,0,19,9985280,10033280,fluent,Pamela Mertz,True,0.6078404188156128,train,test,test
HeStutters_0_20,HeStutters,0,20,11197600,11245600,fluent,Pamela Mertz,True,0.500583827495575,train,test,test
HeStutters_0_21,HeStutters,0,21,12275840,12323840,fluent,Pamela Mertz,True,0.5151429176330566,train,test,test
HeStutters_0_22,HeStutters,0,22,12315840,12363840,fluent,Pamela Mertz,True,0.5969139337539673,train,test,test
HeStutters_0_23,HeStutters,0,23,12567200,12615200,fluent,Pamela Mertz,True,0.584084689617157,train,test,test
HeStutters_0_24,HeStutters,0,24,15001760,15049760,fluent,Pamela Mertz,True,0.437989205121994,train,test,test
HeStutters_0_25,HeStutters,0,25,16317280,16365280,fluent,Pamela Mertz,True,0.5959277153015137,train,test,test
HeStutters_0_28,HeStutters,0,28,18902240,18950240,fluent,Pamela Mertz,True,0.3546248972415924,train,test,test
HeStutters_0_31,HeStutters,0,31,21092480,21140480,fluent,Pamela Mertz,True,0.485493928194046,train,test,test
HeStutters_0_32,HeStutters,0,32,21147520,21195520,fluent,Pamela Mertz,True,0.5565785765647888,train,test,test
HeStutters_0_33,HeStutters,0,33,25293440,25341440,prolongation,Pamela Mertz,True,0.4763345718383789,train,test,test
HeStutters_0_34,HeStutters,0,34,25822720,25870720,fluent,Pamela Mertz,True,0.3888625502586365,train,test,test
HeStutters_0_35,HeStutters,0,35,26746400,26794400,fluent,Pamela Mertz,True,0.4207869470119476,train,test,test
HeStutters_0_36,HeStutters,0,36,27774880,27822880,fluent,Pamela Mertz,True,0.5859019160270691,train,test,test
HeStutters_0_37,HeStutters,0,37,27813440,27861440,fluent,Pamela Mertz,True,0.574636697769165,train,test,test
HeStutters_0_38,HeStutters,0,38,29565600,29613600,fluent,Pamela Mertz,True,0.5432774424552917,train,test,test
HeStutters_1_0,HeStutters,1,0,2152480,2200480,repetition,Pamela Mertz,True,0.5568298697471619,train,test,test
HeStutters_1_1,HeStutters,1,1,27906400,27954400,fluent,Pamela Mertz,True,0.5999943614006042,train,test,test
HeStutters_1_2,HeStutters,1,2,28160960,28208960,fluent,Pamela Mertz,True,0.6195129156112671,train,test,test
HeStutters_1_4,HeStutters,1,4,28351360,28399360,fluent,Pamela Mertz,True,0.3147591650485992,train,test,test
HeStutters_1_5,HeStutters,1,5,28390400,28438400,repetition,Pamela Mertz,True,0.5555472373962402,train,test,test
HeStutters_1_6,HeStutters,1,6,28443200,28491200,fluent,Pamela Mertz,True,0.3804687261581421,train,test,test
HeStutters_1_7,HeStutters,1,7,28506080,28554080,repetition,Pamela Mertz,True,0.4428032636642456,train,test,test
HeStutters_1_8,HeStutters,1,8,28539840,28587840,repetition,Pamela Mertz,True,0.2785152792930603,train,test,test
HeStutters_1_9,HeStutters,1,9,29043360,29091360,fluent,Pamela Mertz,True,0.4807916283607483,train,test,test
HeStutters_1_10,HeStutters,1,10,29077440,29125440,block,Pamela Mertz,True,0.3935577273368835,train,test,test
HeStutters_1_11,HeStutters,1,11,29396960,29444960,prolongation,Pamela Mertz,True,0.4808138906955719,train,test,test
HeStutters_1_12,HeStutters,1,12,29445280,29493280,repetition,Pamela Mertz,True,0.4799919724464416,train,test,test
HeStutters_1_15,HeStutters,1,15,30017440,30065440,prolongation,Pamela Mertz,True,0.5067000389099121,train,test,test
HeStutters_1_16,HeStutters,1,16,30052800,30100800,fluent,Pamela Mertz,True,0.4815251231193542,train,test,test
HeStutters_1_17,HeStutters,1,17,5026880,5074880,block,Pamela Mertz,True,0.6198275685310364,train,test,test
HeStutters_1_19,HeStutters,1,19,30230560,30278560,fluent,Pamela Mertz,True,0.5498700737953186,train,test,test
HeStutters_1_20,HeStutters,1,20,30284320,30332320,repetition,Pamela Mertz,True,0.5928367972373962,train,test,test
HeStutters_1_23,HeStutters,1,23,30771360,30819360,fluent,Pamela Mertz,True,0.4956032335758209,train,test,test
HeStutters_1_24,HeStutters,1,24,30819840,30867840,interjection,Pamela Mertz,True,0.2312233746051788,train,test,test
HeStutters_1_27,HeStutters,1,27,31099040,31147040,prolongation,Pamela Mertz,True,0.4969601333141327,train,test,test
HeStutters_1_29,HeStutters,1,29,31224160,31272160,prolongation,Pamela Mertz,True,0.6004981994628906,train,test,test
HeStutters_1_30,HeStutters,1,30,31286560,31334560,fluent,Pamela Mertz,True,0.4482068419456482,train,test,test
HeStutters_1_35,HeStutters,1,35,31881600,31929600,repetition,Pamela Mertz,True,0.5229651927947998,train,test,test
HeStutters_1_38,HeStutters,1,38,31963680,32011680,fluent,Pamela Mertz,True,0.3873849511146545,train,test,test
HeStutters_1_39,HeStutters,1,39,32034720,32082720,interjection,Pamela Mertz,True,0.5606082677841187,train,test,test
HeStutters_1_44,HeStutters,1,44,32728480,32776480,fluent,Pamela Mertz,True,0.5725889801979065,train,test,test
HeStutters_1_45,HeStutters,1,45,32800640,32848640,repetition,Pamela Mertz,True,0.4556610584259033,train,test,test
HeStutters_1_50,HeStutters,1,50,33175200,33223200,repetition,Pamela Mertz,True,0.5499697327613831,train,test,test
HeStutters_1_57,HeStutters,1,57,5247680,5295680,repetition,Pamela Mertz,True,0.1211815699934959,train,test,test
HeStutters_1_58,HeStutters,1,58,5284000,5332000,fluent,Pamela Mertz,True,0.6219460964202881,train,test,test
HeStutters_1_60,HeStutters,1,60,34295840,34343840,repetition,Pamela Mertz,True,0.1370674222707748,train,test,test
HeStutters_1_63,HeStutters,1,63,34995840,35043840,prolongation,Pamela Mertz,True,0.4601806700229645,train,test,test
HeStutters_1_67,HeStutters,1,67,35897120,35945120,repetition,Pamela Mertz,True,0.3719892203807831,train,test,test
HeStutters_1_68,HeStutters,1,68,35930720,35978720,fluent,Pamela Mertz,True,0.5502745509147644,train,test,test
