clip_id,Show,EpId,ClipId,Start,Stop,label,speaker,is_probably_host,clip_silhouette_score,SEP28k-E,SEP28k-T,SEP28k-D
StutteringIsCool_15_8,StutteringIsCool,15,8,4635520,4683520,prolongation,Daniele Rossi,True,0.5405088067054749,train,test,test
WomenWhoStutter_10_81,WomenWhoStutter,10,81,11556320,11604320,block,Pamela Mertz,True,0.339680403470993,train,test,test
WomenWhoStutter_50_276,WomenWhoStutter,50,276,34439200,34487200,prolongation,Pamela Mertz,True,0.4853132665157318,train,test,test
WomenWhoStutter_46_29,WomenWhoStutter,46,29,26693120,26741120,block,Pamela Mertz,True,0.4024931192398071,train,test,test
WomenWhoStutter_10_199,WomenWhoStutter,10,199,2470560,2518560,repetition,Pamela Mertz,True,0.6045041680335999,train,test,test
HeStutters_19_168,HeStutters,19,168,43624320,43672320,repetition,Pamela Mertz,True,0.4310687482357025,train,test,test
MyStutteringLife_30_79,MyStutteringLife,30,79,3879840,3927840,block,Pedro Peña,True,,train,test,test
StutterTalk_78_10,StutterTalk,78,10,24031680,24079680,block,Peter Reitzes,True,0.3799256384372711,train,test,test
StutteringIsCool_6_3,StutteringIsCool,6,3,15154560,15202560,prolongation,Daniele Rossi,True,0.394769549369812,train,test,test
WomenWhoStutter_108_17,WomenWhoStutter,108,17,13033600,13081600,block,Pamela Mertz,True,0.0153598133474588,train,test,test
HeStutters_16_113,HeStutters,16,113,21528160,21576160,block,Pamela Mertz,True,0.3459124267101288,train,test,test
WomenWhoStutter_65_39,WomenWhoStutter,65,39,30804800,30852800,prolongation,Pamela Mertz,True,0.2344234734773636,train,test,test
WomenWhoStutter_95_12,WomenWhoStutter,95,12,27970080,28018080,block,Pamela Mertz,True,0.4039422869682312,train,test,test
WomenWhoStutter_42_42,WomenWhoStutter,42,42,32592160,32640160,repetition,Pamela Mertz,True,0.3044860064983368,train,test,test
WomenWhoStutter_72_20,WomenWhoStutter,72,20,29080480,29128480,fluent,Pamela Mertz,True,0.3589411973953247,train,test,test
WomenWhoStutter_103_37,WomenWhoStutter,103,37,17176800,17224800,repetition,Pamela Mertz,True,0.3738130629062652,train,test,test
WomenWhoStutter_30_180,WomenWhoStutter,30,180,18300800,18348800,interjection,Pamela Mertz,True,0.3554573059082031,train,test,test
WomenWhoStutter_21_51,WomenWhoStutter,21,51,1471040,1519040,block,Pamela Mertz,True,0.5989184975624084,train,test,test
StutterTalk_43_166,StutterTalk,43,166,45277120,45325120,prolongation,Peter Reitzes,True,0.3864136934280395,train,test,test
StutterTalk_48_3,StutterTalk,48,3,12706400,12754400,fluent,Peter Reitzes,True,0.5151410102844238,train,test,test
StutterTalk_71_13,StutterTalk,71,13,6763200,6811200,block,Peter Reitzes,True,0.7144242525100708,train,test,test
HeStutters_11_148,HeStutters,11,148,976000,1024000,interjection,Pamela Mertz,True,0.5353784561157227,train,test,test
StutteringIsCool_82_162,StutteringIsCool,82,162,12007040,12055040,prolongation,Daniele Rossi,True,0.5014714002609253,train,test,test
WomenWhoStutter_104_4,WomenWhoStutter,104,4,45541760,45589760,fluent,Pamela Mertz,True,0.390148788690567,train,test,test
WomenWhoStutter_99_191,WomenWhoStutter,99,191,25787360,25835360,block,Pamela Mertz,True,0.577143669128418,train,test,test
WomenWhoStutter_49_21,WomenWhoStutter,49,21,10045280,10093280,block,Pamela Mertz,True,0.3954703509807586,train,test,test
WomenWhoStutter_10_103,WomenWhoStutter,10,103,15072000,15120000,fluent,Pamela Mertz,True,0.5970838069915771,train,test,test
HeStutters_12_30,HeStutters,12,30,30397600,30445600,interjection,Pamela Mertz,True,0.6056633591651917,train,test,test
HeStutters_0_24,HeStutters,0,24,15001760,15049760,fluent,Pamela Mertz,True,0.437989205121994,train,test,test
